SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-2),UCYN Cells (x106 m-2),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia Cells (x106 m-2),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-2),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2002-12-18,7.00,129.59,100,,,,,,,,,Rhizosolenia,0.9375,0.01,,,,0.0094,0.009,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-15,0.00,-160.00,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-17,0.00,-165.00,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-18,0.00,-170.00,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-20,0.00,-175.00,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-21,0.00,-180.00,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-23,0.00,175.00,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-24,0.00,170.00,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-26,0.00,165.00,200,,,,,,,,,Hemiaulus hauckii,1.8750,0.01,,,,0.0188,0.019,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com","Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,2003-01-28,0.00,160.00,200,,,,,,,,,Rhizosolenia celvei,2.5000,0.01,,,,0.0250,0.025,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-10-26,-8.37,-141.23,100,,,,,,,,,Hemiaulus hauckii,2.0000,0.01,,,,0.0200,0.020,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-10-30,-9.00,-136.85,100,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-11-03,-13.51,-132.11,170,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-11-07,-17.21,-127.96,210,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-11-11,-20.43,-122.91,220,,,,,,,,,"Hemiaulus hauckii, Rhizosolenia clevei",12.6000,0.01,,,,0.1260,0.126,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-11-15,-32.51,-117.87,210,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-11-19,-26.02,-114.00,270,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-11-23,-28.50,-104.30,280,,,,,,,,,"Hemiaulus hauckii, Rhizosolenia clevei",10.0000,0.01,,,,0.1000,0.100,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-11-27,-30.03,-98.39,200,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-12-01,-31.82,-91.40,250,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-12-05,-32.67,-84.07,120,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
"Gómez, F., Universidad de Valencia, Spain, fernando.gomez@fitoplancton.com",,Standard Light Microscopy,2004-12-09,-33.34,-78.10,100,,,,,,,,,,0.0000,0.01,,,,0.0000,0.000,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia trichomes, each Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells."
,"Kromkamp et al (1997), doi:10.1016/S0967-0645(97)00015-5",Standard Light Microscopy,1992-11-26,-3.17,40.25,50,44.850,,8.9700,30,269.100,,,,,,,,,,,269.100,,,,,,,
,"Kromkamp et al (1997), doi:10.1016/S0967-0645(97)00015-5",Standard Light Microscopy,1992-11-27,-3.17,40.25,50,34.550,,6.9100,30,207.300,,,,,,,,,,,207.300,,,,,,,
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-01-15,-6.15,39.15,20,,,10.0000,30,300.000,,,,,,,,,,,300.000,28.60,35.00,0.001,0.003,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-02-15,-6.15,39.15,20,,,1.7500,30,52.500,,,,,,,,,,,52.500,28.80,36.00,0.028,0.003,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-03-15,-6.15,39.15,20,,,7.2500,30,217.500,,,,,,,,,,,217.500,28.50,36.20,0.005,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-04-15,-6.15,39.15,20,,,72.7500,30,2182.500,,,,,,,,,,,2182.500,28.80,34.00,0.000,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-05-15,-6.15,39.15,20,,,21.7500,30,652.500,,,,,,,,,,,652.500,28.30,34.00,0.001,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-06-15,-6.15,39.15,20,,,3.7500,30,112.500,,,,,,,,,,,112.500,27.50,34.10,0.001,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-07-15,-6.15,39.15,20,,,0.0000,30,0.000,,,,,,,,,,,0.000,26.20,34.00,0.001,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-08-15,-6.15,39.15,20,,,0.2500,30,7.500,,,,,,,,,,,7.500,26.00,34.80,0.000,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-09-15,-6.15,39.15,20,,,0.2500,30,7.500,,,,,,,,,,,7.500,26.10,34.80,0.000,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-10-15,-6.15,39.15,20,,,0.0000,30,0.000,,,,,,,,,,,0.000,26.50,35.00,0.000,0.001,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-11-15,-6.15,39.15,20,,,0.0000,30,0.000,,,,,,,,,,,0.000,27.80,35.20,0.000,0.002,,,"Only year and month are given, day is estimated"
,"Lugomela et al. (2002), doi:10.1023/A:1021017125376",Standard Light Microscopy,1993-12-15,-6.15,39.15,20,,,63.5000,30,1905.000,,,,,,,,,,,1905.000,28.80,35.00,0.030,0.002,,,"Only year and month are given, day is estimated"
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-08-28,37.53,-155.00,200,,,0.0000,30,0.000,,,,Rhizosolenia,0.0000,0.0100,,,,0.000 ,0.000,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-01,32.05,-155.00,200,,,0.0321,30,0.963,,,,Rhizosolenia,0.0005,0.0100,,,,0.000 ,0.963,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-05,26.99,-155.00,200,,,0.0151,30,0.453,,,,Rhizosolenia,0.0001,0.0100,,,,0.000 ,0.453,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-09,22.19,-155.00,200,,,0.5658,30,16.974,,,,Rhizosolenia,0.0055,0.0100,,,,0.000 ,16.974,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-11,18.63,-155.00,200,,,0.0654,30,1.962,,,,Rhizosolenia,0.0016,0.0100,,,,0.000 ,1.962,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-14,14.79,-155.00,200,,,0.1413,30,4.239,,,,Rhizosolenia,0.0100,0.0100,,,,0.000 ,4.239,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-17,11.64,-155.00,200,,,0.0038,30,0.114,,,,Rhizosolenia,0.0005,0.0100,,,,0.000 ,0.114,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-19,8.63,-155.00,200,,,0.0089,30,0.267,,,,Rhizosolenia,0.0000,0.0100,,,,0.000 ,0.267,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-23,4.38,-155.00,200,,,0.1000,30,3.000,,,,Rhizosolenia,0.0000,0.0100,,,,0.000 ,3.000,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-09-27,-0.14,-155.00,200,,,0.0055,30,0.165,,,,Rhizosolenia,0.0000,0.0100,,,,0.000 ,0.165,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-10-01,-2.88,-155.00,200,,,0.0030,30,0.090,,,,Rhizosolenia,0.0000,0.0100,,,,0.000 ,0.090,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-10-05,-8.77,-155.00,200,,,0.0030,30,0.090,,,,Rhizosolenia,0.0000,0.0100,,,,0.000 ,0.090,,,,,,,Date is estimated from map
,"Marumo & Asaoka (1974), doi:10.1007/bf02112896",Standard Light Microscopy,1969-10-10,-13.29,-155.00,200,,,0.0000,30,0.000,,,,Rhizosolenia,0.0000,0.0100,,,,0.000 ,0.000,,,,,,,Date is estimated from map
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-25,33.50,-13.00,50,,,0.0466,30,1.397,,,,,,,,,,,1.397,18.30,36.65,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-26,31.60,-17.00,50,,,0.3069,30,9.206,,,,,,,,,,,9.206,19.10,36.71,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-27,29.50,-22.00,50,,,0.6092,30,18.276,,,,,,,,,,,18.276,20.10,37.00,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-28,29.50,-26.00,50,,,0.1678,30,5.034,,,,,,,,,,,5.034,21.30,36.79,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-29,29.50,-30.00,50,,,0.0606,30,1.817,,,,,,,,,,,1.817,21.80,36.74,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-30,29.50,-34.00,50,,,0.1475,30,4.425,,,,,,,,,,,4.425,23.20,36.75,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-05-31,29.50,-38.00,50,,,0.0294,30,0.882,,,,,,,,,,,0.882,23.10,26.83,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-06-01,29.50,-42.00,50,,,0.0173,30,0.520,,,,,,,,,,,0.520,23.50,26.69,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-06-02,29.50,-46.50,50,,,0.0055,30,0.166,,,,,,,,,,,0.166,23.60,36.83,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-06-03,29.50,-50.00,50,,,0.0189,30,0.568,,,,,,,,,,,0.568,23.20,36.74,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-06-04,29.50,-54.00,50,,,0.1118,30,3.355,,,,,,,,,,,3.355,23.90,36.86,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-06-05,29.50,-58.00,50,,,0.0312,30,0.935,,,,,,,,,,,0.935,24.30,36.61,,,,,
,"McCarthy and Carpenter (1979), doi:10.1111/j.1529-8817.1979.tb02965.x.",Standard Light Microscopy,1975-06-06,31.00,-62.00,50,,,0.0200,30,0.599,,,,,,,,,,,0.599,23.80,36.47,,,,,
"Orcutt, K.M., University of Southern Mississippi, karen.orcutt@usm.edu; Gundersen, K., University of Southern Mississippi, kjell.gundersen@usm.edu","Orcutt et al. (2001), doi:10.1016/S0967-0645(00)00157-0",Epifluorescence Microscopy ,1995-05-15,31.83,-64.17,100,1.142,,0.2283,30,6.849,,,,,,,,,,,6.849,,,,,,,
"Orcutt, K.M., University of Southern Mississippi, karen.orcutt@usm.edu; Gundersen, K., University of Southern Mississippi, kjell.gundersen@usm.edu","Orcutt et al. (2001), doi:10.1016/S0967-0645(00)00157-0",Epifluorescence Microscopy ,1996-10-10,31.83,-64.17,100,0.701,,0.1402,30,4.207,,,,,,,,,,,4.207,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-05,-30.44,-42.16,120,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-06,-28.51,-38.19,100,,,0.9750,30,29.250,,,,,,,,,,,29.250,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-07,-26.53,-34.15,110,,,0.6300,30,18.900,,,,,,,,,,,18.900,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-08,-24.33,-29.33,120,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-10,-19.12,-23.22,140,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-12,-13.10,-18.13,130,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-13,-9.51,-15.40,85,,,0.1000,30,3.000,,,,,,,,,,,3.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,2009-05-18,-7.40,-14.52,65,,,0.3000,30,9.000,,,,,,,,,,,9.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-20,0.05,-16.80,60,,,7.5550,30,226.650,,,,,,,,,,,226.650,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-21,3.50,-17.88,60,,,18.4450,30,553.350,,,,,,,,,,,553.350,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-23,11.30,-20.15,30,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-25,18.50,-21.00,25,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-26,22.60,-21.02,58,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-28,30.30,-21.56,105,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-29,34.20,-20.80,85,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Tyrrell, T., National Oceanography Centre Southampton, Toby.Tyrrell@soton.ac.uk","Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-30,38.10,-20.01,65,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,
"Villareal, T.A., University of Texas at Austin,  t.villareal@mail.utexas.edu ","Villareal et al. (2011), doi:10.1029/2010jc006268",Standard Light Microscopy,2002-06-24,28.02,-159.00,234,,,0.0000,30,0.000,,,,"Hemiaulus,Rhizosolenia",2.2548,0.01,,,,0.0225,0.023,24.59,35.38,0.020,0.150,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells.
"Villareal, T.A., University of Texas at Austin,  t.villareal@mail.utexas.edu ","Villareal et al. (2011), doi:10.1029/2010jc006268",Standard Light Microscopy,2002-06-26,28.01,-158.02,175,,,0.0000,30,0.000,,,,"Hemiaulus,Rhizosolenia",2.3217,0.01,,,,0.0232,0.023,24.78,35.41,0.160,0.090,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells.
"Villareal, T.A., University of Texas at Austin,  t.villareal@mail.utexas.edu ","Villareal et al. (2011), doi:10.1029/2010jc006268",Standard Light Microscopy,2002-06-28,28.00,-156.23,175,,,0.0000,30,0.000,,,,"Hemiaulus,Rhizosolenia",2.3900,0.01,,,,0.0239,0.024,26.58,35.49,0.180,0.100,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells.
"Villareal, T.A., University of Texas at Austin,  t.villareal@mail.utexas.edu ","Villareal et al. (2011), doi:10.1029/2010jc006268",Standard Light Microscopy,2002-06-30,28.00,-153.74,300,,,0.0000,30,0.000,,,,"Hemiaulus,Rhizosolenia",4.3820,0.01,,,,0.0438,0.044,26.83,35.53,0.170,0.010,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia trichomes and each Rhizosolenia contains 5 Richelia trichomes. Also assumes each Richelia trichome contains 5 cells.
