SOURCE: Related article,SOURCE: Related article,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),UCYN Cells (x106 m-2),Richelia Associated Species,Richelia intracellularis (x106 m-2),Calothrix Associated Species,Calothrix intracellularis  (x106 m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1993-11-15,25.20,123.00,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1994-03-15,25.20,123.00,70,,,0.063 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1994-05-05,25.20,123.00,70,,,1.289 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1995-03-28,25.20,123.00,70,,,1.124 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1995-05-02,25.20,123.00,70,,,10.783 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1995-09-02,25.20,123.00,70,,,0.606 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1995-10-01,25.20,123.00,70,,,0.089 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1996-01-04,25.20,123.00,70,,,0.019 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1996-04-26,25.20,123.00,70,,,0.224 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,Standard Light Microscopy,1993-11-15,25.50,122.00,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1994-05-05,25.50,122.00,70,,,0.069 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1994-07-05,25.50,122.00,70,,,13.621 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1995-03-28,25.50,122.00,70,,,0.057 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1995-04-17,25.50,122.00,70,,,3.728 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1995-05-02,25.50,122.00,70,,,0.561 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1995-09-02,25.50,122.00,70,,,0.396 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1995-10-01,25.50,122.00,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1996-01-04,25.50,122.00,70,,,0.001 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1996-04-26,25.50,122.00,70,,,0.021 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,Standard Light Microscopy,1993-11-15,26.15,120.85,70,,,1.600 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1993-11-15,25.80,121.50,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1993-11-15,25.33,122.53,70,,,0.100 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1993-11-15,25.10,123.40,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-03-15,26.30,120.50,50,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-03-15,25.70,121.70,70,,,0.400 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-03-15,25.49,122.19,70,,,0.100 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-03-15,25.00,123.20,70,,,1.400 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.90,121.30,50,,,8.300 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.80,121.50,70,,,7.400 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.70,121.70,70,,,10.500 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.65,121.85,70,,,9.500 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.57,122.02,70,,,5.900 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.49,122.19,70,,,12.400 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.41,122.36,70,,,5.700 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1994-07-05,25.33,122.53,70,,,10.200 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-03-28,26.40,120.30,50,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-03-28,26.15,120.85,50,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-03-28,25.49,122.19,70,,,0.100 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-03-28,25.00,123.20,70,,,1.100 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-04-17,26.00,121.20,50,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-04-17,25.80,121.50,70,,,1.500 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-04-17,25.49,122.19,70,,,3.800 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-04-17,25.41,122.36,70,,,4.800 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,26.30,120.50,70,,,2.700 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,26.15,120.85,70,,,3.200 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,26.00,121.20,70,,,1.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.80,121.50,70,,,0.100 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.65,121.85,70,,,0.400 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.57,122.02,70,,,0.200 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.49,122.19,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.41,122.36,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.33,122.53,70,,,0.100 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.17,122.87,70,,,0.300 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1995-10-01,25.00,123.20,70,,,0.200 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1996-04-26,26.05,121.00,50,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1996-04-26,25.90,121.30,50,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1996-04-26,25.70,121.70,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1996-04-26,25.57,122.02,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1996-04-26,25.41,122.36,70,,,0.000 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1996-04-26,25.25,122.70,70,,,0.900 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,Standard Light Microscopy,1996-04-26,25.09,123.04,70,,,0.200 ,,,,,,,,,,,,"year/month acurate, day estimated. Location estimated from map"
"Chen et al. (2003), doi:10.3354/meps259047, 2003",Epifluorescence Microscopy ,2000-07-04,18.00,115.50,60,,,0.632 ,,,,,,,,0.01 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-07-08,22.50,119.67,60,,,5.875 ,,,,,,,,0.04 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-07-12,21.42,118.17,60,,,19.231 ,,,,,,,,0.05 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-05,19.00,117.50,60,,,1.050 ,,,,,,,,0.02 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-06,20.33,118.52,60,,,9.931 ,,,,,,,,0.02 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-07,22.03,118.50,60,,,13.490 ,,,,,,,,0.01 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-08,22.03,201.17,60,,,6.714 ,,,,,,,,0.06 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-09,18.25,115.67,60,,,1.832 ,,,,,,,,0.02 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-10,22.03,117.50,60,,,5.998 ,,,,,,,,0.05 ,0.04 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-11,21.83,117.67,60,,,1.288 ,,,,,,,,0.03 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2000-10-12,21.25,119.50,60,,,2.148 ,,,,,,,,0.01 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-21,22.50,119.67,60,,,0.566 ,,,,,,,,0.02 ,0.06 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-22,21.42,117.00,60,,,0.231 ,,,,,,,,0.01 ,0.05 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-23,19.17,116.00,60,,,0.440 ,,,,,,,,0.01 ,0.06 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-24,20.25,116.50,60,,,0.057 ,,,,,,,,0.04 ,0.06 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-25,18.00,115.50,60,,,0.419 ,,,,,,,,0.03 ,0.05 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-26,18.00,117.67,60,,,0.400 ,,,,,,,,0.02 ,0.04 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-27,18.00,119.75,60,,,0.485 ,,,,,,,,0.01 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-28,22.42,118.58,60,,,0.220 ,,,,,,,,0.02 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-29,22.17,118.00,60,,,1.361 ,,,,,,,,0.03 ,0.06 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-03-30,20.25,118.67,60,,,0.366 ,,,,,,,,0.02 ,0.05 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-06-28,22.50,119.67,60,,,2.153 ,,,,,,,,0.01 ,0.04 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-06-30,22.42,118.58,60,,,1.047 ,,,,,,,,1.31 ,0.04 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-07-02,21.42,117.00,60,,,1.334 ,,,,,,,,0.01 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-07-04,20.25,118.67,60,,,10.814 ,,,,,,,,0.04 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-07-06,22.17,118.00,60,,,0.480 ,,,,,,,,3.01 ,0.04 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-10-23,20.25,116.50,60,,,2.163 ,,,,,,,,0.04 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-10-25,18.00,115.50,60,,,1.452 ,,,,,,,,0.04 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-10-27,18.00,117.67,60,,,21.330 ,,,,,,,,0.02 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-10-29,18.00,119.75,60,,,1.435 ,,,,,,,,0.02 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-10-31,20.25,118.67,60,,,0.667 ,,,,,,,,0.02 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-04,22.42,118.58,60,,,0.236 ,,,,,,,,0.47 ,0.08 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-05,21.42,117.00,60,,,0.524 ,,,,,,,,0.96 ,0.10 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-06,22.17,118.00,60,,,0.279 ,,,,,,,,0.31 ,0.10 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-07,20.25,116.50,60,,,0.148 ,,,,,,,,0.04 ,0.05 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-08,18.00,115.50,60,,,0.293 ,,,,,,,,0.03 ,0.05 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-09,18.00,117.67,60,,,1.079 ,,,,,,,,0.04 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-10,20.25,118.67,60,,,0.220 ,,,,,,,,1.00 ,0.13 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-11,21.42,119.47,60,,,0.867 ,,,,,,,,0.02 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-03-12,19.00,117.50,60,,,0.084 ,,,,,,,,0.08 ,0.07 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-07-24,18.00,119.75,60,,,0.561 ,,,,,,,,0.01 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-07-25,18.00,118.50,60,,,3.084 ,,,,,,,,0.01 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-07-26,20.50,118.50,60,,,8.244 ,,,,,,,,0.01 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-07-11,22.00,122.00,60,,,44.247 ,,,,,,,,0.05 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-07-14,20.50,122.50,60,,,43.147 ,,,,,,,,0.01 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-07-17,19.00,123.00,60,,,12.880 ,,,,,,,,0.01 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-07-20,22.00,122.50,60,,,19.502 ,,,,,,,,0.01 ,0.03 ,,,Direct depth-integrate measurements
"Chen et al. (2011), doi:10.3354/Meps08908, 2011",Epifluorescence Microscopy ,2002-10-21,22.00,122.00,100,,,51.087 ,,,,,,,,0.05 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-10-21,20.50,122.50,100,,,52.031 ,,,,,,,,0.01 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-10-21,19.00,123.00,100,,,14.979 ,,,,,,,,0.01 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-10-21,22.00,122.50,100,,,28.210 ,,,,,,,,0.01 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2002-10-21,22.00,121.42,100,,,37.825 ,,,,,,,,0.02 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-22,24.00,121.80,100,,,0.449 ,,,,,,,,0.02 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-23,24.00,122.00,100,,,0.614 ,,,,,,,,0.14 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-24,24.00,122.20,100,,,3.029 ,,,,,,,,0.02 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-25,24.00,122.40,100,,,1.659 ,,,,,,,,0.01 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-26,22.17,121.17,100,,,3.536 ,,,,,,,,0.01 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-27,22.17,122.00,100,,,4.478 ,,,,,,,,0.01 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-28,21.42,121.17,100,,,2.423 ,,,,,,,,0.04 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-29,21.42,122.33,100,,,6.786 ,,,,,,,,0.02 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-04-30,20.25,124.00,100,,,1.014 ,,,,,,,,0.03 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-05-01,22.17,122.67,100,,,1.134 ,,,,,,,,0.01 ,0.03 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-08-10,21.42,121.17,100,,,2.841 ,,,,,,,,0.02 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2005-08-15,21.42,122.33,100,,,55.269 ,,,,,,,,0.02 ,0.02 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2006-12-20,21.42,122.33,100,,,0.424 ,,,,,,,,0.02 ,0.01 ,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2006-12-25,21.42,121.17,100,,,0.558 ,,,,,,,,0.19 ,0.04 ,,,Direct depth-integrate measurements
